item,snr_db_global,ncc_global,skill_global,psd_logl2_global,psd_rel_global,robust_snr_db_global,snr_db_Z,snr_db_N,snr_db_E,ncc_Z,ncc_N,ncc_E,skill_Z,skill_N,skill_E,robust_snr_db_Z,robust_snr_db_N,robust_snr_db_E,psd_logl2_Z,psd_logl2_N,psd_logl2_E,psd_rel_Z,psd_rel_N,psd_rel_E
47044,4.899905276488731,0.8235785365104675,0.676399290561676,11.44600772857666,1003775.6875,4.408580518926506,2.404613967122238,3.4863478058138027,8.634311368244795,0.6542757153511047,0.7463605999946594,0.9317230582237244,0.4251710772514343,0.5519100427627563,0.8630478382110596,5.979576849375201,9.821167234962534,12.24940227533786,11.100781440734863,14.009960174560547,13.564037322998047,1099150.375,2014875.75,3032659.5
44295,-3.5176866622525265,-0.11659782379865646,-1.247856855392456,18.918781280517578,3957357.5,0.007249610583098861,-9.253376549488351,-4.073991114815591,0.8541858800918422,-0.3209696412086487,-0.524650514125824,0.42595887184143066,-7.420495986938477,-1.5550482273101807,0.17854946851730347,1.1027524981137216,2.2505074731324255,1.065708220331036,19.93526840209961,17.41166877746582,19.10577964782715,5566481.5,2866423.75,3899993.75
74783,5.087399159464932,0.8328825831413269,0.6900725364685059,14.402381896972656,1664183.875,2.8185504978284732,6.718228846063123,5.096316738657533,4.71592925718836,0.9160304665565491,0.8311473727226257,0.8151979446411133,0.787099301815033,0.6907082796096802,0.6623964309692383,7.934760074660293,7.5507639046561446,6.256558169163179,16.335853576660156,16.18678092956543,17.710554122924805,3232294.0,1384295.125,3841157.75
70975,-0.9207468654006045,0.24118225276470184,-0.23615992069244385,11.896852493286133,1635048.125,-0.9685509778857986,-3.794458592533589,-3.483454640049401,2.7699050840932307,-0.43454477190971375,-0.38251253962516785,0.691008985042572,-1.3957741260528564,-1.2302086353302002,0.47154319286346436,1.7587298890888952,1.6672199149285258,7.051726415740943,11.845231056213379,10.631704330444336,14.218533515930176,1550875.5,585266.75,13036481.0
46645,12.692309383022074,0.976783275604248,0.9462016224861145,11.43320083618164,1359600.875,13.382401353952012,8.170535373318973,10.82650466762324,16.689944887751512,0.9240970015525818,0.9636101722717285,0.9927933812141418,0.847613513469696,0.9173296689987183,0.978570818901062,8.3551388468847,13.188573836015522,18.428104132422426,13.097240447998047,14.771492004394531,11.5369873046875,1981888.75,2830453.75,570558.0625
8215,5.998293335404076,0.8728746771812439,0.7487126588821411,10.928326606750488,1560428.0,0.08332734744267867,6.408278430737539,5.559263312724553,6.071137764631973,0.8838965892791748,0.8629680275917053,0.873004674911499,0.7713494896888733,0.7219815254211426,0.7528923153877258,10.89186089198888,11.289148832739123,11.52467553748464,9.763071060180664,13.409467697143555,12.327522277832031,610528.4375,16146323.0,4638408.5
65509,1.163836298801276,0.4852614998817444,0.23507940769195557,14.05880069732666,1108250.5,0.5795468115308318,-0.5298965455899105,1.2724349327939068,9.22160202700062,0.08483937382698059,0.5370417833328247,0.9506521224975586,-0.12976908683776855,0.253969669342041,0.8803700804710388,0.4880675334307438,5.412186048272172,10.165520128348678,16.179990768432617,15.197851181030273,18.98917579650879,2279527.25,1320048.375,2079284.625
62715,12.102121988801148,0.9723190069198608,0.9383706450462341,12.35512638092041,2339889.25,12.628416981654116,12.400266233978252,11.175108717171673,13.760390232335592,0.977214515209198,0.9649909734725952,0.9813796877861023,0.9424595236778259,0.9237062335014343,0.9579311013221741,13.462902543055362,13.022771870839318,14.330473626127686,15.075098037719727,11.730626106262207,13.901147842407227,10550365.0,1351598.75,3604396.5
39859,1.3000332656291165,0.5200647711753845,0.25869542360305786,15.620368957519531,2545189.0,-0.35146078916793844,-3.48111258010709,2.69823021733627,3.2672390467904044,0.272136926651001,0.8008373379707336,0.786717414855957,-1.229006052017212,0.46274930238723755,0.5287231206893921,1.5802535869218581,6.1480510853664505,5.21554353100748,15.860384941101074,16.651599884033203,17.7206974029541,1859256.875,3507037.25,5089428.5
58834,3.3040188360965743,0.7477452158927917,0.5326974987983704,16.716089248657227,4151768.0,0.8556315976464157,0.6865706993116085,6.576075094068786,-1.86785647725232,0.5390310883522034,0.883273184299469,0.23056739568710327,0.14622598886489868,0.7800152897834778,-0.537395715713501,4.074075922206815,11.3880876162784,1.2574280652756697,19.10691261291504,20.403533935546875,19.933523178100586,7689475.5,7089769.5,7270488.5
